"symbol","date","open","high","low","close","split_coefficient","price","qtr","eps_est","eps","release_time","Beat_Miss","Close","price2"
"NFLX",2016-08-08,95.91,95.93,94,95.11,14,1331.54,NA,NA,NA,NA,NA,12.4489528795812,1315.86
"SP500",2016-08-08,2183.76,2185.44,2177.85,2180.89,1,2180.89,NA,NA,NA,NA,NA,2.00063296945234,2181.74
"AAPL",2016-08-09,108.23,108.94,108.01,108.81,28,3046.68,NA,NA,NA,NA,NA,3.5590392972291,3024
"AMZN",2016-08-09,767.39,772.6,766.9,768.31,12,9219.72,NA,NA,NA,NA,NA,5.73793876026886,9222.72
"FB",2016-08-09,125.34,126.09,124.53,125.06,1,125.06,NA,NA,NA,NA,NA,3.27109892811743,124.88
"GOOGL",2016-08-09,804.49,813.33,804.06,807.48,1,807.48,NA,NA,NA,NA,NA,1.28836059034703,808.49
"NFLX",2016-08-09,95.12,95.81,93.48,93.99,14,1315.86,NA,NA,NA,NA,NA,12.3023560209424,1315.02
"SP500",2016-08-09,2182.24,2187.66,2178.61,2181.74,1,2181.74,NA,NA,NA,NA,NA,2.00141271442987,2175.49
"AAPL",2016-08-10,108.71,108.9,107.76,108,28,3024,NA,NA,NA,NA,NA,3.53254520816784,3022.04
"AMZN",2016-08-10,769.8,772.1,766.19,768.56,12,9222.72,NA,NA,NA,NA,NA,5.73980582524272,9254.88
"FB",2016-08-10,125.07,125.48,124.54,124.88,1,124.88,NA,NA,NA,NA,NA,3.26639080555977,124.9
"GOOGL",2016-08-10,807.05,810.879,806.49,808.49,1,808.49,NA,NA,NA,NA,NA,1.28997207818109,808.2
"NFLX",2016-08-10,94.4,94.75,92.95,93.93,14,1315.02,NA,NA,NA,NA,NA,12.294502617801,1342.46
"SP500",2016-08-10,2182.81,2183.41,2172,2175.49,1,2175.49,NA,NA,NA,NA,NA,1.99567929547748,2185.79
"AAPL",2016-08-11,108.52,108.93,107.85,107.93,28,3022.04,NA,NA,NA,NA,NA,3.53025559553292,3029.04
"AMZN",2016-08-11,769.94,773.75,769.12,771.24,12,9254.88,NA,NA,NA,NA,NA,5.75982076176251,9270.72
"FB",2016-08-11,125.2,125.38,124.75,124.9,1,124.9,NA,NA,NA,NA,NA,3.2669139302884,124.88
"GOOGL",2016-08-11,810.47,813.879,806,808.2,1,808.2,NA,NA,NA,NA,NA,1.28950937375349,807.05
"NFLX",2016-08-11,94.6,96.33,94.37,95.89,14,1342.46,NA,NA,NA,NA,NA,12.5510471204188,1352.26
"SP500",2016-08-11,2177.97,2188.45,2177.97,2185.79,1,2185.79,NA,NA,NA,NA,NA,2.00512796991102,2184.05
"AAPL",2016-08-12,107.78,108.44,107.78,108.18,28,3029.04,NA,NA,NA,NA,NA,3.53843278351479,3065.44
"AMZN",2016-08-12,768.46,773.15,768.4225,772.56,12,9270.72,NA,NA,NA,NA,NA,5.7696788648245,9221.88
"FB",2016-08-12,124.7,125,124.18,124.88,1,124.88,NA,NA,NA,NA,NA,3.26639080555977,123.9
"GOOGL",2016-08-12,805.09,807.19,803.64,807.05,1,807.05,NA,NA,NA,NA,NA,1.28767451136817,805.96
"NFLX",2016-08-12,95.53,96.83,95.08,96.59,14,1352.26,NA,NA,NA,NA,NA,12.6426701570681,1334.34
"SP500",2016-08-12,2183.74,2186.28,2179.42,2184.05,1,2184.05,NA,NA,NA,NA,NA,2.00353178607467,2190.15
"AAPL",2016-08-15,108.14,109.54,108.08,109.48,28,3065.44,NA,NA,NA,NA,NA,3.58095416102051,3062.64
"AMZN",2016-08-15,771.9,772.04,767.71,768.49,12,9221.88,NA,NA,NA,NA,NA,5.73928304705004,9168.48
"FB",2016-08-15,124.91,124.92,123.7,123.9,1,123.9,NA,NA,NA,NA,NA,3.24075769385695,123.3
"GOOGL",2016-08-15,807.21,811.36,804.03,805.96,1,805.96,NA,NA,NA,NA,NA,1.28593538093339,801.19
"NFLX",2016-08-15,96.83,96.91,95.24,95.31,14,1334.34,NA,NA,NA,NA,NA,12.4751308900524,1331.68
"SP500",2016-08-15,2186.08,2193.81,2186.08,2190.15,1,2190.15,NA,NA,NA,NA,NA,2.0091276029722,2178.15
"AAPL",2016-08-16,109.63,110.23,109.21,109.38,28,3062.64,NA,NA,NA,NA,NA,3.57768328582776,3058.16
"AMZN",2016-08-16,768.62,768.7317,763.82,764.04,12,9168.48,NA,NA,NA,NA,NA,5.70604929051531,9175.56
"FB",2016-08-16,123.5,123.92,122.78,123.3,1,123.3,NA,NA,NA,NA,NA,3.22506395199808,124.37
"GOOGL",2016-08-16,803.5,804.26,797,801.19,1,801.19,NA,NA,NA,NA,NA,1.27832469086558,805.42
"NFLX",2016-08-16,95.19,95.61,94.4,95.12,14,1331.68,NA,NA,NA,NA,NA,12.4502617801047,1349.18
"SP500",2016-08-16,2186.24,2186.24,2178.14,2178.15,1,2178.15,NA,NA,NA,NA,NA,1.99811943858362,2182.22
"AAPL",2016-08-17,109.1,109.37,108.34,109.22,28,3058.16,NA,NA,NA,NA,NA,3.57244988551937,3054.24
"AMZN",2016-08-17,764.41,765.22,759.199,764.63,12,9175.56,NA,NA,NA,NA,NA,5.71045556385362,9173.52
"FB",2016-08-17,123.66,124.38,122.85,124.37,1,124.37,NA,NA,NA,NA,NA,3.25305112497973,123.91
"GOOGL",2016-08-17,800,805.63,796.3,805.42,1,805.42,NA,NA,NA,NA,NA,1.28507379337854,802.75
"NFLX",2016-08-17,94.94,96.93,94.85,96.37,14,1349.18,NA,NA,NA,NA,NA,12.6138743455497,1346.24
"SP500",2016-08-17,2177.84,2183.08,2168.5,2182.22,1,2182.22,NA,NA,NA,NA,NA,2.00185304100541,2187.02
"AAPL",2016-08-18,109.23,109.6,109.02,109.08,28,3054.24,NA,NA,NA,NA,NA,3.56787066024952,3062.08
"AMZN",2016-08-18,764,765.17,760.6,764.46,12,9173.52,NA,NA,NA,NA,NA,5.7091859596714,9087.72
"FB",2016-08-18,124.01,124.26,123.64,123.91,1,123.91,NA,NA,NA,NA,NA,3.24101925622126,123.56
"GOOGL",2016-08-18,805.36,808,801.63,802.75,1,802.75,NA,NA,NA,NA,NA,1.28081372157958,799.65
"NFLX",2016-08-18,95.98,97.2168,95.17,96.16,14,1346.24,NA,NA,NA,NA,NA,12.586387434555,1342.18
"SP500",2016-08-18,2181.9,2187.03,2180.46,2187.02,1,2187.02,NA,NA,NA,NA,NA,2.00625630676085,2183.87
"AAPL",2016-08-19,108.77,109.69,108.36,109.36,28,3062.08,NA,NA,NA,NA,NA,3.57702911078922,3038.28
"AMZN",2016-08-19,761.9,762.49,756.89,757.31,12,9087.72,NA,NA,NA,NA,NA,5.65578790141897,9113.76
"FB",2016-08-19,123.6,124.157,123.28,123.56,1,123.56,NA,NA,NA,NA,NA,3.23186457347025,124.15
"GOOGL",2016-08-19,799.79,801.23,796.88,799.65,1,799.65,NA,NA,NA,NA,NA,1.27586757080176,796.95
"NFLX",2016-08-19,96.05,96.78,95.51,95.87,14,1342.18,NA,NA,NA,NA,NA,12.5484293193717,1333.64
"SP500",2016-08-19,2184.24,2185,2175.13,2183.87,1,2183.87,NA,NA,NA,NA,NA,2.00336666360884,2182.64
"AAPL",2016-08-22,108.86,109.1,107.85,108.51,28,3038.28,NA,NA,NA,NA,NA,3.54922667165086,3047.8
"AMZN",2016-08-22,757.5,759.85,752.1,759.48,12,9113.76,NA,NA,NA,NA,NA,5.67199402539208,9149.4
